Flow Duration,Total Fwd Packets,Total Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Label
44646,5,5,226,161,5371.1297364427655,292.0726950199271,1711.4893517181038,6051.595842500548,4497.760305038408,1,1.0,0.0,0.0,47,49,1.4855962658051323,46.122865822426725,81.71289722856027,29.934826875431476,BENIGN
78219,4,8,412,327,21947.133000620415,377.9985301861226,2699.41578425812,6597.965184274406,6626.573443421518,0,1.0,0.0,0.0,56,27,157.7892759771645,105.09491327545005,336.89084924486014,142.8692913561328,BENIGN
3469,5,7,293,359,33793.460412227636,79.1316150466837,2518.6863243430207,5104.147907762884,1789.0998201618572,0,1.0,0.0,0.0,44,28,112.03815563572546,12.963894643482412,440.05453382385355,132.37650144608216,BENIGN
27149,4,9,70,106,49628.841737406154,443.7186496431949,3565.1743320492446,873.787363980829,666.8494011437411,0,0.0,0.0,0.0,45,53,56.62789332429049,144.61871570114383,490.4552065736552,97.3647351381724,BENIGN
25618,6,8,449,108,42347.317625442956,311.16304402936214,3632.5855028357687,7278.910348356543,3480.694101838437,1,1.0,0.0,0.0,27,42,197.3927711648601,145.0773232607475,463.4601765635597,98.1896460748127,BENIGN
95108,5,6,496,307,29962.612269629797,59.507462355667506,9918.526187679581,7684.935145803279,769.6911153152944,1,0.0,0.0,0.0,50,45,149.17645037682743,146.0838477541904,351.20536842809736,95.93275430343782,BENIGN
90084,10,6,78,131,13108.508252840378,82.76530031709112,3324.2600322560743,5224.892051622607,5603.275815104145,0,1.0,0.0,0.0,30,31,191.41238329485935,33.01864771651367,433.94279690484683,86.29488444491261,BENIGN
71014,10,8,233,26,1159.4015345312448,96.67343803431163,8880.463508841542,201.34460388586376,961.4697316373582,1,0.0,0.0,0.0,41,21,26.90042997341409,79.9941136703932,72.98638579753957,50.45043824524089,BENIGN
43932,9,11,405,323,7505.611782272875,282.8261156716032,1411.5128802517484,4567.367959505843,4466.979552227721,1,0.0,0.0,0.0,42,57,40.662648711137294,28.152291159980198,184.5603717793827,110.23488339220319,BENIGN
55021,1,10,236,390,17519.777210954828,34.7603651733358,8901.204137260855,980.4982326333671,246.45974407552532,1,1.0,0.0,0.0,53,52,121.93841014955811,5.466593727964713,327.48874389343047,101.13313702923965,BENIGN
